a52dec 0.7.4-6
gsfonts 1.0.7pre44-3
gsl 1.15-2
gsm 1.0.13-7
gstreamer0.10 0.10.36-1
gstreamer0.10-bad 0.10.23-1
gstreamer0.10-bad-plugins 0.10.23-1
gstreamer0.10-base 0.10.36-1
gstreamer0.10-base-plugins 0.10.36-1
gstreamer0.10-good 0.10.31-1
gstreamer0.10-good-plugins 0.10.31-1
gstreamer0.10-python 0.10.22-1
gstreamer0.10-ugly 0.10.19-1
gstreamer0.10-ugly-plugins 0.10.19-1
gsynaptics 0.9.16-2
gthumb 2.14.2-1
gtk 1.2.10-11
gtk-doc 1.18-1
gtk-engine-murrine 0.98.1.1-3
gtk-engines 2.20.2-2
gtk-qt-engine 1.1-3
gtk-sharp-2 2.12.11-1
gtk-theme-switch2 2.1.0-2
gtk-update-icon-cache 2.24.10-3
gtk2 2.24.10-3
gtk2-perl 1.241-1
gtk2-themes-collection 0.2.0-2
gtk2-xfce-engine 2.99.2-1
gtk3 3.2.3-3
gtkglext 1.2.0-7
gtkhtml 3.32.2-3
gtkhtml-sharp 2.26.0-8
gtkmathview 0.8.0-3
gtkmm 2.24.2-2
gtkmm3 3.2.0-1
gtksourceview 1.8.5-3
gtksourceview2 2.10.5-2
gtksourceview2-sharp 2.26.0-8
gtksourceview3 3.2.3-2
gtkspell 2.0.16-2
gts 0.7.6-2
gucharmap 3.2.2-1
guifications 2.16-3
guile 1.8.8-2
gvfs 1.10.1-3
gvfs-obexftp 1.10.1-3
gzip 1.4-4
hddtemp 0.3.beta15.46-2
hdf5 1.8.8-1
hdparm 9.39-1
heirloom-mailx 12.5-3
hicolor-icon-theme 0.12-2
hspell 1.1-2
hsqldb-java 1:1.8.0.10-2
htop 1.0.1-1
hunspell 1.3.2-1
hwd 5.4.3-1
hwdetect 2012.01-1
hyphen 2.8.3-1
iana-etc 2.30-2
icon-naming-utils 0.8.90-2
icu 4.8.1.1-1
id3lib 3.8.3-12
id3v2 0.1.12-2
idnkit 1.0-2
ifenslave 1.1.0-7
ilmbase 1.0.2-1
